terror,longitude,latitude
terror,68.790285,34.165001
terror,7.42277,4.699885
terror,13.191338,32.887209
terror,2.370553,48.859172
terror,2.287296,48.789746
terror,69.916917,33.333109
terror,44.213536,15.355873
terror,3.04942,43.019169
terror,36.043056,32.888889
terror,70.44742,34.434093
terror,68.814303,36.296755
terror,42.602334,36.763592
terror,44.354167,33.061667
terror,44.215907,34.05911
terror,44.434701,33.426411
terror,44.276368,33.341992
terror,44.373944,33.664229
terror,124.166209,7.885051
terror,0.004826,16.300194
terror,45.203487,4.735941
terror,43.471658,3.312478
terror,45.340469,2.032623
terror,68.446944,33.305833
terror,67.635903,32.727268
terror,65.873015,32.626454
terror,122.011242,6.426872
terror,66.96863,30.135364
terror,66.638056,32.938449
terror,64.47316,32.397381
terror,12.727688,32.752053
terror,90.418485,23.781835
terror,11.180555,10.297129
terror,33.617577,30.608472
terror,13.818728,13.095123
terror,11.916542,11.562315
terror,13.86245,13.120723
terror,13.563938,12.922965
terror,13.563938,12.922965
terror,13.60899,12.96309
terror,13.876099,13.120905
terror,13.563938,12.922965
terror,13.563938,12.922965
terror,13.563938,12.922965
terror,13.563938,12.922965
terror,13.563938,12.922965
terror,13.563938,12.922965
terror,13.563938,12.922965
terror,13.563938,12.922965
terror,13.563938,12.922965
terror,69.166622,34.533278
terror,13.563938,12.922965
terror,13.07357,10.722753
terror,12.907412,10.655179
terror,30.836898,29.324607
terror,70.387998,32.209583
terror,71.338333,34.744167
terror,123.4996,9.1584
terror,90.415464,23.741159
terror,67.023889,24.938611
terror,33.803186,31.131997
terror,4.349437,51.912067
terror,2.318555,48.816769
terror,0.203153,47.969057
terror,4.72444,45.989461
terror,66.97,30.198611
terror,66.99061,30.191594
terror,65.577382,26.304831
terror,67.884341,28.158098
terror,36.994167,36.375556
terror,37.010577,36.358493
terror,70.368889,33.423333
terror,66.192955,32.684456
terror,44.252877,33.079205
terror,44.342575,33.230986
terror,44.087712,35.135849
terror,44.087712,35.135849
terror,44.395746,35.470616
terror,44.395746,35.470616
terror,44.395746,35.470616
terror,44.395746,35.470616
terror,44.395746,35.470616
terror,44.395746,35.470616
terror,44.395746,35.470616
terror,44.024673,33.241378
terror,44.479551,33.255202
terror,44.321263,33.333034
terror,43.462027,35.272238
terror,68.868156,36.728555
terror,7.47169,35.348841
terror,44.90009,2.616779
terror,44.213536,15.355873
terror,45.5771,13.988915
terror,120.538736,14.694419
terror,67.020396,24.923077
terror,80.2,9.816667
terror,80.377,8.724741
terror,80.498103,8.74918
terror,62.156307,33.305667
terror,-5.856586,54.588478
terror,35.23059,31.78173
terror,-4.91545,14.456878
terror,90.376489,23.745937
terror,91.249391,22.945389
terror,42.184007,37.331265
terror,42.184007,37.331265
terror,45.332862,2.045086
terror,44.246389,15.799444
terror,44.246389,15.799444
terror,90.83659,22.943681
terror,67.033333,24.933333
terror,43.13,36.340108
terror,43.294997,35.798579
terror,92.036928,24.522975
terror,88.27045,24.57972
terror,88.231626,24.608869
terror,91.843416,22.370277
terror,43.886423,34.192537
terror,43.886423,34.192537
terror,43.886423,34.192537
terror,43.886423,34.192537
terror,5.908998,45.692341
terror,2.211335,43.949268
terror,2.699313,49.062076
terror,2.415619,48.847155
terror,73.050429,33.596908
terror,62.322409,25.126114
terror,67.886708,28.155415
terror,1.410173,18.440531
terror,44.612324,34.87981
terror,44.330751,33.333366
terror,44.422,33.325
terror,44.347316,33.404845
terror,44.620868,34.880926
terror,69.093223,34.090738
terror,11.961111,11.744444
terror,12.902829,10.656526
terror,70.43404,33.15045
terror,70.963302,33.747722
terror,34.394905,47.567248
terror,25.936107,48.291861
terror,24.711117,48.922633
terror,31.245069,30.121423
terror,31.14822,29.989607
terror,68.848197,27.706584
terror,90.404076,23.79392
terror,66.992844,24.950082
terror,71.46783,34.80508
terror,64.815,32.260556
terror,34.453593,31.522561
terror,81.280733,18.287025
terror,91.397434,23.01606
terror,124.443546,6.861545
terror,90.412,23.725002
terror,90.361499,23.806425
terror,71.773333,34.158333
terror,92.996861,25.508945
terror,44.479551,33.255202
terror,70.984739,33.741283
terror,120.939674,14.420209
terror,39.308922,48.568854
terror,1.065343,47.792551
terror,3.32342,49.376636
terror,28.792477,41.096099
terror,28.796313,41.005884
terror,35.854032,34.443955
terror,44.29993,33.317833
terror,44.244808,35.326864
terror,44.087712,35.135849
terror,44.328386,35.299472
terror,20.066886,32.116645
terror,38.035566,35.963158
terror,36.960932,36.590788
terror,63.714911,26.025566
terror,10.142317,25.142301
terror,42.545278,-0.358369
terror,13.15,11.833345
terror,11.096525,11.709427
terror,71.089311,34.927108
terror,71.419353,34.992297
terror,66.44203,35.967023
terror,38.893889,48.771389
terror,49.1825,11.284645
terror,49.1825,11.284645
terror,68.406381,28.644878
terror,63.060646,26.004147
terror,121.044016,5.969382
terror,71.432905,33.976313
terror,71.729625,33.957824
terror,67.020396,24.923077
terror,67.025186,24.922012
terror,67.033268,24.933604
terror,66.96089,24.921045
terror,90.411924,23.723156
terror,88.363895,22.57277
terror,90.386137,23.75151
terror,-7.529444,4.774444
terror,-7.494947,4.926617
terror,73.076657,31.414515
terror,70.447241,34.433798
terror,68.781077,33.177132
terror,66.093838,36.169873
terror,69.216765,33.600112
terror,44.34494,33.268315
terror,44.583513,33.099944
terror,124.673587,7.05372
terror,43.496145,36.043837
terror,41.86,36.32
terror,41.86,36.32
terror,33.803186,31.131997
terror,,
terror,34.453593,31.522561
terror,88.267296,24.579343
terror,87.86619,24.479971
terror,90.369813,23.718507
terror,90.387196,23.756107
terror,90.420766,23.761226
terror,91.201835,23.164783
terror,88.277149,24.591206
terror,90.386137,23.75151
terror,29.974054,6.60308
terror,71.338333,34.744167
terror,68.714007,34.007712
terror,70.882043,33.91424
terror,65.256242,34.526334
terror,78.08026,27.900297
terror,9.404009,42.017023
terror,69.362853,30.478008
terror,9.910117,53.556487
terror,34.240191,31.280267
terror,44.34494,33.268315
terror,44.363846,33.368108
terror,43.661518,34.656982
terror,44.354167,33.061667
terror,44.612324,34.87981
terror,43.886423,34.192537
terror,44.934748,33.973829
terror,44.91494,33.962791
terror,43.886423,34.192537
terror,44.507795,33.25153
terror,,
terror,66.998824,30.182962
terror,39.660629,-4.048671
terror,11.096525,11.709427
terror,11.096525,11.709427
terror,13.41787,11.65331
terror,62.218857,34.279105
terror,63.624722,34.963611
terror,30.523132,50.449785
terror,36.251832,49.889214
terror,44.213536,15.355873
terror,48.788974,15.947052
terror,34.240191,31.280267
terror,7.08488,4.74159
terror,8.1,6.333346
terror,8.023253,6.535695
terror,8.023253,6.535695
terror,43.393035,35.880317
terror,91.833153,22.334345
terror,93.933658,24.696348
terror,90.418485,23.781835
terror,90.418485,23.781835
terror,90.412,23.725002
terror,90.417231,23.732972
terror,23.737925,37.986162
terror,91.743196,26.171689
terror,75.277189,12.171542
terror,37.80285,48.015883
terror,0.340375,46.580224
terror,44.396927,33.425404
terror,44.449247,33.31321
terror,44.936962,33.978568
terror,44.934748,33.973829
terror,43.865158,34.196139
terror,44.401651,33.346641
terror,44.406814,33.249111
terror,41.923092,32.558612
terror,44.1525,13.978889
terror,69.384377,28.955469
terror,69.158797,29.03533
terror,12.906142,10.657376
terror,14.012778,11.162222
terror,62.156307,33.305667
terror,66.5125,32.176111
terror,64.469444,32.403056
terror,64.369602,31.583055
terror,64.289821,31.47771
terror,66.289873,35.776813
terror,69.916675,33.333318
terror,70.796138,34.195384
terror,37.742709,48.068516
terror,39.2333,48.733226
terror,39.2333,48.733403
terror,39.2333,48.733226
terror,39.2333,48.733226
terror,39.2333,48.733226
terror,38.961734,48.756884
terror,39.466667,48.666667
terror,38.514635,48.692857
terror,38.495278,48.734444
terror,38.490377,48.329236
terror,39.538333,48.671944
terror,39.571846,48.672192
terror,67.024119,24.942563
terror,85.826501,23.806137
terror,6.301048,4.9073
terror,91.573388,22.772683
terror,89.38951,25.172664
terror,90.410456,23.718487
terror,90.385322,23.728365
terror,90.397055,23.72785
terror,90.400728,23.718198
terror,90.388399,23.742684
terror,90.396282,23.73718
terror,90.407511,23.712544
terror,89.075877,23.094731
terror,90.414086,23.746539
terror,88.267296,24.579343
terror,90.408333,23.741667
