citizenTerror,longitude,latitude
citizenTerror,39.471521,48.662702
citizenTerror,39.471521,48.662702
citizenTerror,39.471521,48.662702
citizenTerror,39.471521,48.662702
citizenTerror,39.471521,48.662702
citizenTerror,39.471521,48.662702
citizenTerror,38.379387,48.63283
citizenTerror,38.203529,48.218299
citizenTerror,7.414698,4.484502
citizenTerror,41.86,36.32
citizenTerror,44.413483,33.546272
citizenTerror,66.294167,29.178056
citizenTerror,11.179766,10.294589
citizenTerror,69.365561,35.746875
citizenTerror,44.278691,33.370243
citizenTerror,38.350817,36.88774
citizenTerror,90.394261,23.739726
citizenTerror,91.438875,24.415958
citizenTerror,73.044493,33.598133
citizenTerror,71.673784,29.399281
citizenTerror,71.511591,34.740321
citizenTerror,34.240191,31.280267
citizenTerror,24.631389,4.749167
citizenTerror,24.631389,4.749167
citizenTerror,120.75453,-1.395818
citizenTerror,44.460666,33.389909
citizenTerror,44.157787,33.462707
citizenTerror,44.347213,32.88925
citizenTerror,71.010278,29.095833
citizenTerror,9.772456,7.657065
citizenTerror,38.380358,48.633155
citizenTerror,44.354167,33.061667
citizenTerror,20.131703,32.093242
citizenTerror,20.176667,32.098333
citizenTerror,20.130239,32.129069
citizenTerror,44.266976,33.589786
citizenTerror,18.583287,4.366623
citizenTerror,67.070913,24.942133
citizenTerror,13.653611,10.794167
citizenTerror,14.470973,12.634726
citizenTerror,12.55149,9.361746
citizenTerror,8.558519,9.711994
citizenTerror,90.396322,23.717036
citizenTerror,91.981752,22.294093
citizenTerror,44.354167,33.061667
citizenTerror,67.643889,29.195278
citizenTerror,18.086344,30.800891
citizenTerror,13.175477,32.898594
citizenTerror,124.827031,7.10728
citizenTerror,20.033055,32.022215
citizenTerror,43.299955,33.416686
citizenTerror,36.420452,34.181381
citizenTerror,38.4,48.333339
citizenTerror,37.808019,48.003267
citizenTerror,23.737191,37.987491
citizenTerror,66.998824,30.182962
citizenTerror,66.998824,30.182962
citizenTerror,66.998824,30.182962
citizenTerror,67.755,32.666111
citizenTerror,-13.693323,9.517441
citizenTerror,9.778034,7.873037
citizenTerror,44.620763,34.880964
citizenTerror,43.725963,34.582434
citizenTerror,44.612324,34.87981
citizenTerror,36.420652,34.178932
citizenTerror,68.745306,36.178903
citizenTerror,39.4772,48.660118
citizenTerror,39.227539,48.737814
citizenTerror,38.789836,48.751468
citizenTerror,75.648478,11.765349
citizenTerror,75.636811,11.759187
citizenTerror,90.4081,23.721468
citizenTerror,44.246389,15.799444
citizenTerror,121.974992,6.710943
citizenTerror,43.3,33.416611
citizenTerror,43.299859,33.416591
citizenTerror,36.716284,34.712743
citizenTerror,34.781415,32.085171
citizenTerror,44.246389,15.799444
citizenTerror,68.764682,34.367196
citizenTerror,44.460652,33.389934
citizenTerror,44.441866,33.362396
citizenTerror,44.493704,33.326038
citizenTerror,44.396927,33.425404
citizenTerror,37.197312,36.482176
citizenTerror,37.212222,36.565
citizenTerror,37.058333,35.818056
