policeTerror,longitude,latitude
policeTerror,70.336069,33.695975
policeTerror,73.201062,34.333882
policeTerror,31.413889,30.111389
policeTerror,49.1825,11.284766
policeTerror,64.369167,31.583056
policeTerror,65.473889,32.920833
policeTerror,62.203098,34.346907
policeTerror,44.61205,34.879919
policeTerror,90.92117,23.580551
policeTerror,80.275339,20.093128
policeTerror,67.016673,30.17116
policeTerror,13.250957,32.894455
policeTerror,65.346325,36.196546
policeTerror,65.349432,36.198591
policeTerror,89.232419,23.159466
policeTerror,90.43473,23.710799
policeTerror,33.037082,35.140467
policeTerror,33.803321,31.132017
policeTerror,101.695443,6.057088
policeTerror,64.874032,36.247525
policeTerror,62.198315,34.343326
policeTerror,90.360714,23.804512
policeTerror,91.25,23.35
policeTerror,64.113921,26.999497
policeTerror,44.253056,33.079167
policeTerror,70.799971,34.195301
policeTerror,80.311806,20.272043
policeTerror,23.736582,37.986729
policeTerror,88.59996,24.366623
policeTerror,70.100908,34.796513
policeTerror,65.70216,31.612835
policeTerror,90.367863,23.773132
policeTerror,90.406258,23.724174
policeTerror,90.268301,24.632652
policeTerror,81.866144,21.278657
policeTerror,49.1825,11.284766
policeTerror,47.805696,30.457925
policeTerror,91.197901,23.455809
policeTerror,90.364244,23.770293
policeTerror,50.585596,26.216076
policeTerror,125.872222,8.050528
policeTerror,12.616667,13.316667
policeTerror,10.925608,12.562439
policeTerror,30.941975,31.10632
policeTerror,68.86947,36.726437
policeTerror,30.016884,31.282654
policeTerror,30.016884,31.282654
policeTerror,29.9748,31.248222
policeTerror,29.946908,31.210951
policeTerror,29.9832,31.255534
policeTerror,19.816604,41.330143
policeTerror,34.110425,31.211645
policeTerror,38.402665,48.338461
policeTerror,70.452468,34.430134
policeTerror,69.421137,37.065646
policeTerror,33.148611,30.426389
policeTerror,90.56476,24.759793
policeTerror,64.058116,34.591383
policeTerror,69.720278,34.896389
policeTerror,79.922001,37.11384
policeTerror,31.285017,30.077022
policeTerror,38.424287,36.97512
policeTerror,124.028392,13.025418
policeTerror,14.052937,13.549231
policeTerror,40.054105,1.746952
policeTerror,45.5771,13.988915
policeTerror,7.338608,9.159633
policeTerror,101.948617,6.026201
policeTerror,34.110425,31.211645
policeTerror,70.451748,34.429433
policeTerror,71.584167,35.402778
policeTerror,68.840244,34.391319
policeTerror,91.65948,22.617737
policeTerror,42.550134,33.849852
policeTerror,126.216168,6.951876
policeTerror,126.216168,6.951876
policeTerror,68.220079,28.546261
policeTerror,31.184652,30.465685
policeTerror,39.054143,-5.055813
policeTerror,126.184539,6.936973
policeTerror,65.054246,31.623036
policeTerror,81.303815,18.260136
policeTerror,-7.284821,54.971694
policeTerror,89.275227,25.743892
policeTerror,69.257784,34.014117
policeTerror,74.357514,31.553995
policeTerror,49.127513,14.531382
policeTerror,81.061666,19.010024
policeTerror,42.549955,33.850037
policeTerror,63.290842,35.04013
policeTerror,34.240191,31.280267
policeTerror,-73.354165,8.234801
policeTerror,101.235109,6.826315
policeTerror,45.340469,2.032623
policeTerror,66.909451,32.105078
policeTerror,68.393324,32.76073
policeTerror,-56.488096,-23.318849
policeTerror,-56.69482,-23.124529
policeTerror,32.549628,29.966834
policeTerror,66.405537,31.002009
policeTerror,70.359167,34.835278
policeTerror,81.543134,18.646597
policeTerror,22.242201,32.76264
policeTerror,101.815028,6.424834
policeTerror,72.499037,34.192268
policeTerror,81.03055,18.753932
policeTerror,0,0
policeTerror,31.096894,29.07335
policeTerror,63.453735,25.400806
policeTerror,31.099291,29.068194
policeTerror,22.4349,38.895973
policeTerror,-56.450292,-23.266556
policeTerror,-54.856367,-24.502438
policeTerror,70.846181,36.754448
policeTerror,69.01742,33.117102
policeTerror,98.461755,23.831453
policeTerror,90.35957,23.78231
policeTerror,69.240073,34.660214
policeTerror,44.881944,13.056667
policeTerror,44.205237,33.152144
policeTerror,69.919702,33.338905
policeTerror,46.754023,43.471462
policeTerror,29.027808,-1.639724
policeTerror,44.583333,33.1
policeTerror,31.211122,30.096994
policeTerror,70.593889,32.9725
policeTerror,50.609901,26.144038
policeTerror,34.240191,31.280267
policeTerror,44.498375,33.741604
policeTerror,69.255135,32.663817
policeTerror,30.842872,29.308363
policeTerror,30.680538,29.357014
policeTerror,30.846014,29.307319
policeTerror,30.842872,29.308363
policeTerror,30.842872,29.308363
policeTerror,69.882313,34.275513
policeTerror,64.051058,31.488758
policeTerror,45.30408,2.042886
policeTerror,41.460836,31.392495
policeTerror,42.55,33.850297
policeTerror,101.51344,6.352957
policeTerror,66.444722,30.922447
policeTerror,32.899651,24.088856
policeTerror,68.709008,35.951738
policeTerror,90.407806,23.792513
policeTerror,101.059862,6.783047
policeTerror,68.6,30.366667
policeTerror,101.059862,6.783047
policeTerror,66.881346,36.373503
policeTerror,64.56727,31.823423
policeTerror,-6.25518,55.20143
policeTerror,65.564917,32.894314
policeTerror,93.126554,23.994737
policeTerror,45.340469,2.032623
policeTerror,42.550045,33.85
policeTerror,36.230525,49.993705
policeTerror,3.309458,36.412944
policeTerror,35.226404,31.793371
policeTerror,101.201382,6.574715
policeTerror,-0.044616,16.289889
policeTerror,44.434701,33.223512
policeTerror,39.009361,32.740792
policeTerror,94.63,26.98
policeTerror,29.91838,31.199787
policeTerror,29.918649,31.200092
policeTerror,125.169529,7.602754
