businessTerror,longitude,latitude
businessTerror,120.700453,17.127442
businessTerror,126.046919,8.485491
businessTerror,62.196991,34.34322
businessTerror,121.973276,6.419419
businessTerror,22.242172,32.762628
businessTerror,-73.447444,8.510846
businessTerror,101.816398,6.424408
businessTerror,101.812825,6.373608
businessTerror,69.15,29.033333
businessTerror,67.014138,30.194215
businessTerror,0,0
businessTerror,91.808829,22.36601
businessTerror,20.098022,32.07794
businessTerror,36.059241,35.456432
businessTerror,65.810407,36.558688
businessTerror,121.324524,14.07463
businessTerror,94.545239,26.745828
businessTerror,44.34494,33.268315
businessTerror,106.823432,-6.392711
businessTerror,90.663075,23.232099
businessTerror,45.30408,2.042886
businessTerror,66.453037,30.919952
businessTerror,44.396927,33.425404
businessTerror,97.901447,23.997579
businessTerror,73.789937,19.997934
businessTerror,44.278691,33.370243
businessTerror,44.363851,33.368141
businessTerror,37.778527,47.958935
businessTerror,31.198418,30.079579
businessTerror,31.200229,30.068061
businessTerror,31.200229,30.068061
businessTerror,31.200229,30.068061
businessTerror,44.702826,33.376952
businessTerror,44.420539,33.320107
businessTerror,123.35142,13.471834
businessTerror,34.110425,31.211645
businessTerror,93.969963,25.15192
businessTerror,44.49269,33.299011
businessTerror,66.99834,24.942061
businessTerror,20.091492,32.110785
businessTerror,44.278691,33.370243
businessTerror,91.88398,24.89721
businessTerror,91.872091,24.891471
businessTerror,44.48659,33.321917
businessTerror,44.413457,33.54631
businessTerror,17.553827,29.789235
businessTerror,17.28707,29.827888
businessTerror,91.893254,25.578531
businessTerror,90.435996,23.710573
businessTerror,89.032041,25.108422
businessTerror,18.350278,30.629444
businessTerror,44.633332,33.75
businessTerror,101.059862,6.783047
businessTerror,101.809358,6.325366
businessTerror,89.253996,25.74842
businessTerror,31.318125,30.125437
businessTerror,31.318125,30.125437
businessTerror,17.927935,29.471151
businessTerror,126.016544,9.228859
businessTerror,67.06939,24.882451
businessTerror,67.129867,24.832234
businessTerror,44.354346,33.061667
businessTerror,44.345029,33.381034
businessTerror,12.248567,31.930345
businessTerror,85.07367,25.409215
businessTerror,17.464728,28.97289
businessTerror,44.276413,33.34188
businessTerror,44.328386,33.277992
businessTerror,44.4,33.3
businessTerror,-74.082789,4.642024
businessTerror,44.34494,33.268315
businessTerror,31.162448,30.978129
businessTerror,-7.972909,12.665771
businessTerror,44.541171,33.570041
businessTerror,29.999354,31.238023
businessTerror,47.430833,6.769722
businessTerror,125.169529,7.602754
businessTerror,63.714911,26.025566
businessTerror,28.669444,-2.621389
businessTerror,44.413457,33.54631
businessTerror,44.217289,33.512032
businessTerror,44.271677,33.257938
businessTerror,44.583288,33.100037
businessTerror,29.999354,31.238023
businessTerror,29.918649,31.200092
businessTerror,-5.930498,54.596954
businessTerror,29.946908,31.210951
businessTerror,23.961568,32.07596
businessTerror,44.354346,33.061667
businessTerror,-119.8142,39.530155
businessTerror,90.432735,23.737471
businessTerror,101.416882,6.874803
businessTerror,45.340469,2.032623
businessTerror,93.950179,24.819757
businessTerror,34.110425,31.211645
businessTerror,90.803218,25.651754
businessTerror,69.570278,32.304722
businessTerror,75.989761,39.470107
businessTerror,44.276145,33.342029
businessTerror,86.3,24.18
businessTerror,31.276942,29.962696
businessTerror,66.992844,24.950082
businessTerror,29.918649,31.200092
businessTerror,16.547762,31.206961
businessTerror,82.664764,20.37637
businessTerror,44.359124,33.356732
businessTerror,44.385499,33.215389
businessTerror,16.583452,31.186549
businessTerror,44.536067,33.373901
businessTerror,44.5078,33.251506
businessTerror,12.248567,31.930345
businessTerror,40.058655,1.748727
businessTerror,71.478739,34.106446
businessTerror,125.716202,8.251043
businessTerror,125.231846,6.723456
businessTerror,44.458294,33.303115
businessTerror,44.506622,33.314009
businessTerror,44.35676,33.247211
businessTerror,38.040428,48.307319
businessTerror,44.453621,33.30073
businessTerror,38.220428,48.43468
businessTerror,44.235291,33.63497
businessTerror,69.918227,33.337275
businessTerror,44.372122,33.259511
businessTerror,66.883392,25.028372
businessTerror,36.211063,34.004679
businessTerror,-56.561647,-24.194867
businessTerror,93.740234,25.903798
