religiousTerror,longitude,latitude
religiousTerror,44.252818,15.299531
religiousTerror,63.789444,35.725556
religiousTerror,9.0833,9.5667
religiousTerror,67.265877,35.961372
religiousTerror,64.905955,36.079561
religiousTerror,-95.327984,29.779987
religiousTerror,70.121765,33.638947
religiousTerror,125.355626,6.744295
religiousTerror,11.966177,11.747224
religiousTerror,11.966177,11.747224
religiousTerror,66.771944,36.308889
religiousTerror,70.893038,31.832593
religiousTerror,138.479002,-3.684015
religiousTerror,30.908958,3.027392
religiousTerror,110.366463,-7.8348
religiousTerror,109.897585,-7.784329
religiousTerror,29.918739,31.200092
religiousTerror,11.165831,10.28397
religiousTerror,67.056885,24.894681
religiousTerror,63.469844,25.264475
religiousTerror,44.225389,15.35065
religiousTerror,44.983035,12.787846
religiousTerror,68.918177,35.760462
religiousTerror,68.9166,35.761476
religiousTerror,68.917218,35.761548
religiousTerror,68.917218,35.761548
religiousTerror,68.917218,35.761548
religiousTerror,29.444352,-0.995997
religiousTerror,-106.754459,32.294582
religiousTerror,-106.790007,32.319945
religiousTerror,68.917218,35.761548
religiousTerror,68.917218,35.761548
religiousTerror,8.89328,9.537847
religiousTerror,74.926396,31.640645
religiousTerror,69.287754,35.804295
religiousTerror,69.287754,35.804295
religiousTerror,69.287754,35.804295
religiousTerror,69.287754,35.804295
religiousTerror,69.287754,35.804295
religiousTerror,70.307425,34.416679
religiousTerror,42.50811,18.221272
religiousTerror,44.883283,13.057842
religiousTerror,37.79328,55.716922
religiousTerror,78.092246,27.890074
religiousTerror,70.211275,34.668773
religiousTerror,16.586637,31.203255
religiousTerror,120.617974,18.33244
religiousTerror,74.83593,33.718375
religiousTerror,-5.584703,15.2635
religiousTerror,16.586637,31.203255
religiousTerror,16.586637,31.203255
religiousTerror,-106.773223,32.292512
religiousTerror,12.568337,55.676097
religiousTerror,70.765621,33.855666
religiousTerror,100.54056,13.74444
religiousTerror,82.150396,26.770406
religiousTerror,44.380392,35.465576
religiousTerror,-73.930696,40.746559
religiousTerror,44.667217,44.521187
religiousTerror,37.238351,34.230702
religiousTerror,36.830224,-1.174588
religiousTerror,38.27411,34.548369
religiousTerror,36.289192,33.509875
religiousTerror,68.932282,33.797107
religiousTerror,70.791877,32.104839
religiousTerror,0.587621,43.642997
religiousTerror,70.407486,34.328977
religiousTerror,13.153468,11.829601
religiousTerror,44.315376,33.246555
religiousTerror,13.545297,11.020053
religiousTerror,38.27449,34.547433
religiousTerror,8.660059,35.080915
religiousTerror,44.197184,15.371778
religiousTerror,44.197184,15.371778
religiousTerror,43.948056,14.473611
religiousTerror,36.564365,32.707311
religiousTerror,91.82505,22.330688
religiousTerror,101.553226,6.650615
religiousTerror,71.418038,34.858049
religiousTerror,89.248138,24.021679
religiousTerror,40.2391,37.912504
religiousTerror,8.107162,6.331163
religiousTerror,47.187222,42.855556
religiousTerror,67.147924,24.881773
religiousTerror,8.532379,52.029643
religiousTerror,70.636662,37.650727
religiousTerror,44.352032,33.054977
religiousTerror,-0.303742,51.461311
religiousTerror,-95.323685,32.137933
religiousTerror,87.722301,26.560959
religiousTerror,87.667963,26.671816
religiousTerror,87.890391,26.640033
religiousTerror,87.904158,26.651904
religiousTerror,45.032651,12.775331
religiousTerror,101.732106,6.254823
religiousTerror,101.723701,6.295698
religiousTerror,67.027832,24.902932
religiousTerror,13.151388,11.831976
religiousTerror,69.018998,34.00038
religiousTerror,31.806125,-1.332759
religiousTerror,31.806125,-1.332759
religiousTerror,31.806125,-1.332759
religiousTerror,44.191007,15.369445
religiousTerror,44.185074,15.367245
religiousTerror,63.860113,33.141556
religiousTerror,-0.198295,51.396507
religiousTerror,13.08017,11.825293
religiousTerror,13.158618,11.834654
religiousTerror,89.216744,24.01574
religiousTerror,11.966192,11.746996
religiousTerror,12.781725,12.49693
religiousTerror,12.781725,12.49693
religiousTerror,70.78821,34.263149
religiousTerror,69.172322,34.513446
religiousTerror,45.904291,43.143468
religiousTerror,67.570921,28.415809
religiousTerror,82.144164,26.773248
religiousTerror,95.362715,5.397895
religiousTerror,97.87216,2.358946
religiousTerror,97.863914,2.351637
religiousTerror,13.236847,11.796639
religiousTerror,16.589121,31.205159
religiousTerror,48.423584,32.383078
religiousTerror,50.041721,26.474992
religiousTerror,35.260968,32.225036
religiousTerror,69.649314,34.856826
religiousTerror,20.216869,30.749794
religiousTerror,50.477737,26.13883
religiousTerror,50.469706,26.123898
religiousTerror,98.136447,22.021647
religiousTerror,6.274773,4.921162
religiousTerror,67.883333,28.95
