govTerror,longitude,latitude
govTerror,11.166846,10.283553
govTerror,80.946166,26.846694
govTerror,6.233333,7.55
govTerror,45.340469,2.032623
govTerror,-0.036487,16.224786
govTerror,123.36171,12.170076
govTerror,44.39603,33.355106
govTerror,89.175361,23.55282
govTerror,34.453632,31.52255
govTerror,69.191445,34.533564
govTerror,31.695478,26.558523
govTerror,93.733909,25.906034
govTerror,13.004862,10.431155
govTerror,68.333865,28.868386
govTerror,22.242172,32.762628
govTerror,45.340469,2.032623
govTerror,65.956944,29.306944
govTerror,94.107633,25.67012
govTerror,44.166748,13.966641
govTerror,13.192078,32.893635
govTerror,90.403056,24.753889
govTerror,13.191347,32.883465
govTerror,16.587055,31.20561
govTerror,121.181498,16.517954
govTerror,44.213536,15.355873
govTerror,69.081001,34.529733
govTerror,44.278691,33.370243
govTerror,44.667145,33.787247
govTerror,88.751655,24.278644
govTerror,44.35676,33.247211
govTerror,44.633338,33.749926
govTerror,62.316864,34.230561
govTerror,45.340469,2.032623
govTerror,49.1825,11.284766
govTerror,69.184986,34.536036
govTerror,44.354525,33.061667
govTerror,88.837105,24.197485
govTerror,67.423257,32.499875
govTerror,70.649529,34.41808
govTerror,120.598896,18.196832
govTerror,120.641999,17.576667
govTerror,47.430833,6.769722
govTerror,65.452985,32.629449
govTerror,89.367381,24.850363
govTerror,31.2357,30.04442
govTerror,90.411162,23.727897
govTerror,67.244139,24.869619
govTerror,68.720739,34.01063
govTerror,101.099467,6.745269
govTerror,89.253996,25.74842
govTerror,47.816667,30.499692
govTerror,37.160027,36.2065
govTerror,48.3,42.05
govTerror,90.837466,22.94456
govTerror,67.009939,24.861462
govTerror,126.975643,37.572525
govTerror,120.9804,14.599
govTerror,90.837466,22.94456
govTerror,90.392482,23.753643
govTerror,100.574224,13.792816
govTerror,81.846244,25.435841
govTerror,81.076845,17.930096
govTerror,90.291389,23.56
govTerror,91.10316,22.827779
govTerror,13.175477,32.898594
govTerror,1.408422,18.438719
govTerror,43.249167,13.806944
govTerror,48.331755,15.959517
govTerror,70.916667,31.816667
govTerror,8.899702,9.53955
govTerror,62.034711,32.484306
govTerror,45.016445,12.776398
govTerror,9.093356,9.093356
govTerror,123.194732,7.535447
govTerror,62.613104,34.280914
govTerror,120.473846,16.029468
