terrorism,longitude,latitude
terrorism,7.817429,51.680371
terrorism,-58.381503,-34.6037
terrorism,-99.05,19.6
terrorism,9.991586,53.553813
terrorism,9.991586,53.553813
terrorism,-5.930109,54.597269
terrorism,-58.381503,-34.6037
terrorism,-71.312844,42.64589
terrorism,-70.872638,42.811978
terrorism,-70.871914,42.87568
terrorism,3.577523,45.670778
terrorism,-68.150162,-16.500194
terrorism,12.494249,41.89052
terrorism,8.737554,41.918891
terrorism,-3.700345,40.416691
terrorism,-3.700345,40.416691
terrorism,8.533072,52.023062
terrorism,-74.005941,40.712784
terrorism,-99.133207,19.432608
terrorism,-58.381503,-34.6037
terrorism,13.331741,52.505803
terrorism,-87.632409,41.88415
terrorism,-73.971249,40.78306
terrorism,-74.005941,40.712784
terrorism,-58.381503,-34.6037
terrorism,-1.984447,43.320812
terrorism,-89.199161,13.69288
terrorism,13.518739,43.615844
terrorism,7.686619,45.070562
terrorism,-5.930109,54.597269
terrorism,7.686619,45.070562
terrorism,-73.971249,40.78306
terrorism,-73.971249,40.78306
terrorism,-73.971249,40.78306
terrorism,-73.971249,40.78306
terrorism,-73.971249,40.78306
terrorism,-3.700345,40.416691
terrorism,-122.419644,37.777125
terrorism,,
terrorism,-74.005941,40.712784
terrorism,-66.590149,18.220833
terrorism,-74.005941,40.712784
terrorism,-3.700345,40.416691
terrorism,-122.419644,37.777125
terrorism,-2.977838,53.410777
terrorism,-122.419644,37.777125
terrorism,-1.675708,48.113475
terrorism,12.494249,41.89052
terrorism,-73.784722,2.183611
terrorism,-58.381503,-34.6037
terrorism,-6.33393,54.18006
terrorism,-6.70361,54.536706
terrorism,-77.031959,38.89037
terrorism,-74.005941,40.712784
terrorism,-74.005941,40.712784
terrorism,-74.005941,40.712784
terrorism,-27.220577,38.721642
terrorism,-6.443767,54.42071
terrorism,-73.971249,40.78306
terrorism,27.135695,38.419144
terrorism,12.494249,41.89052
terrorism,-74.005941,40.712784
terrorism,-74.005941,40.712784
terrorism,8.403756,49.008085
terrorism,12.494249,41.89052
terrorism,-122.419644,37.777125
terrorism,-89.199161,13.69288
terrorism,10.953262,49.932898
terrorism,13.331741,52.505803
terrorism,13.331741,52.505803
terrorism,-7.170908,54.238631
terrorism,-27.220577,38.721642
terrorism,-122.419644,37.777125
terrorism,9.137625,45.643596
terrorism,7.686619,45.070562
terrorism,-87.632409,41.88415
terrorism,-2.923441,43.256963
terrorism,10.308011,43.551876
terrorism,10.308011,43.551876
terrorism,10.918511,43.93215
terrorism,-1.474841,43.492949
terrorism,8.933989,44.407062
terrorism,12.494249,41.89052
terrorism,7.686619,45.070562
terrorism,7.686619,45.070562
terrorism,7.686619,45.070562
terrorism,-100.985541,22.15647
terrorism,12.278939,41.733244
terrorism,-74.005941,40.712784
terrorism,8.403756,49.008085
terrorism,8.403756,49.008085
terrorism,-99.133207,19.432608
terrorism,-99.133207,19.432608
terrorism,101.251838,6.201532
terrorism,,
terrorism,16.587757,38.910536
terrorism,12.494249,41.89052
terrorism,12.494249,41.89052
terrorism,9.188171,45.463681
terrorism,12.494249,41.89052
terrorism,-6.267494,53.344104
terrorism,-3.744875,40.387823
terrorism,-2.923441,43.256963
terrorism,2.352222,48.856614
terrorism,-74.005941,40.712784
terrorism,-87.632409,41.88415
terrorism,-1.644184,42.817988
terrorism,13.399934,42.350698
terrorism,2.352222,48.856614
terrorism,11.876554,45.409538
terrorism,9.188171,45.463681
terrorism,9.188171,45.463681
terrorism,7.686619,45.070562
terrorism,-74.07603,4.5981
terrorism,13.399934,42.350698
terrorism,-1.474841,43.492949
terrorism,-1.474841,43.492949
terrorism,16.868378,41.126
terrorism,9.188171,45.463681
terrorism,-3.700345,40.416691
terrorism,12.494249,41.89052
terrorism,12.494249,41.89052
terrorism,11.346518,44.49419
terrorism,-1.644184,42.817988
terrorism,-1.12989,37.983445
terrorism,35.21172,31.766496
terrorism,-2.923441,43.256963
terrorism,2.169919,41.387917
terrorism,2.169919,41.387917
terrorism,-90.46695007,14.63261365
terrorism,11.119059,46.066712
terrorism,11.358008,46.496714
terrorism,11.346518,44.49419
terrorism,12.494249,41.89052
terrorism,-1.12989,37.983445
terrorism,-103.344177,20.673343
terrorism,15.802221,40.637243
terrorism,-1.12989,37.983445
terrorism,12.494249,41.89052
terrorism,-75.572173,6.270526
terrorism,-16.283738,28.466492
terrorism,2.169919,41.387917
terrorism,-76.522119,3.420628
terrorism,13.456268,43.300738
terrorism,12.494249,41.89052
terrorism,12.494249,41.89052
terrorism,-3.700345,40.416691
terrorism,-76.495727,3.583748
terrorism,-76.495727,3.583748
terrorism,-75.572173,6.270526
terrorism,-76.60617,2.44186
terrorism,9.109324,39.215409
terrorism,10.222956,45.539838
terrorism,122.0772,6.908868
terrorism,-88.85,13.85
terrorism,-88.785423,13.64121
terrorism,-88.183333,13.466667
terrorism,-88.785423,13.64121
terrorism,-89.228637,13.808917
terrorism,-74.586142,5.975153
terrorism,11.256901,43.768732
terrorism,7.686619,45.070562
terrorism,25.600682,-33.9585
terrorism,6.564228,52.992753
terrorism,-2.923441,43.256963
terrorism,12.494249,41.89052
terrorism,7.686619,45.070562
terrorism,-1.984447,43.320812
terrorism,-76.60617,2.44186
terrorism,-74.076664,4.601378
terrorism,8.933989,44.407062
terrorism,-0.126236,51.500152
terrorism,-58.52861,-34.470829
terrorism,10.222956,45.539838
terrorism,12.244107,45.495837
terrorism,12.494249,41.89052
terrorism,11.256901,43.768732
terrorism,-86.354361,13.08956
terrorism,12.494249,41.89052
terrorism,9.188171,45.463681
terrorism,-73.124973,7.131202
terrorism,-74.030012,5.026003
terrorism,-76.522119,3.420628
terrorism,9.188171,45.463681
terrorism,-89.199161,13.69288
terrorism,-89.199161,13.69288
terrorism,-66.106654,18.46617
terrorism,-66.106654,18.46617
terrorism,-66.106654,18.46617
terrorism,-1.675708,48.113475
terrorism,9.188171,45.463681
terrorism,-89.199161,13.69288
terrorism,140.717,-2.533
terrorism,-1.930432,43.323348
terrorism,12.494249,41.89052
terrorism,-77.031959,38.89037
terrorism,-72.503885,7.894195
terrorism,-74.076664,4.601378
terrorism,-75.66967,7.89014
terrorism,-1.644184,42.817988
terrorism,-76.522119,3.420628
terrorism,35.977071,34.287995
terrorism,-2.923441,43.256963
terrorism,9.188171,45.463681
terrorism,-5.930109,54.597269
terrorism,-73.653621,6.643708
